Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 10, 'Happy': 16, 'Neutral': 15, 'Sad': 0, 'Surprise': 7}",[],16,17,15
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 60, 'Disgust': 62, 'Fear': 15, 'Happy': 86, 'Neutral': 43, 'Sad': 0, 'Surprise': 15}","[2, 5]",2,92,43
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 1, 'Disgust': 0, 'Fear': 5, 'Happy': 1, 'Neutral': 21, 'Sad': 0, 'Surprise': 0}",[],2,5,21
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 1, 'Disgust': 0, 'Fear': 21, 'Happy': 1, 'Neutral': 25, 'Sad': 0, 'Surprise': 0}",[],2,21,25
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 4, 'Happy': 0, 'Neutral': 9, 'Sad': 0, 'Surprise': 2}",[],0,6,9
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 5, 'Happy': 0, 'Neutral': 18, 'Sad': 0, 'Surprise': 2}",[],0,7,18
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 37, 'Happy': 0, 'Neutral': 2, 'Sad': 0, 'Surprise': 0}",[0],0,37,2
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 44, 'Happy': 30, 'Neutral': 3, 'Sad': 0, 'Surprise': 0}",[0],30,44,3
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 12, 'Happy': 1, 'Neutral': 24, 'Sad': 0, 'Surprise': 16}",[0],1,28,24
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 14, 'Happy': 3, 'Neutral': 28, 'Sad': 0, 'Surprise': 29}",[0],3,43,28
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 21, 'Happy': 25, 'Neutral': 3, 'Sad': 0, 'Surprise': 1}",[1],25,22,3
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 38, 'Happy': 0, 'Neutral': 0, 'Sad': 5, 'Surprise': 0}","[0, 1]",5,38,0
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 0, 'Disgust': 0, 'Fear': 46, 'Happy': 0, 'Neutral': 0, 'Sad': 5, 'Surprise': 0}","[0, 1]",5,46,0
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 1, 'Disgust': 0, 'Fear': 6, 'Happy': 0, 'Neutral': 8, 'Sad': 1, 'Surprise': 0}",[],2,6,8
Emotion Frequency,Blink List,Truth Count,Lie Count,Neutral Count
"{'Anger': 1, 'Disgust': 0, 'Fear': 7, 'Happy': 0, 'Neutral': 9, 'Sad': 1, 'Surprise': 0}",[],2,7,9
